	wikidata_code	birth	death	updated_death_date	approx_birth	approx_death	birth_min	birth_max	death_min	death_max	gender	level1_main_occ	name	un_subregion	birth_estimation	death_estimation	bigperiod_birth_graph_b	bigperiod_death_graph_b	curid	level2_main_occ	freq_main_occ	freq_second_occ	level2_second_occ	level3_main_occ	bigperiod_birth	bigperiod_death	wiki_readers_2015_2018	non_missing_score	total_count_words_b	number_wiki_editions	total_noccur_links_b	sum_visib_ln_5criteria	ranking_visib_5criteria	all_geography_groups	string_citizenship_raw_d	citizenship_1_b	citizenship_2_b	list_areas_of_rattach	area1_of_rattachment	area2_of_rattachment	list_wikipedia_editions	un_region	group_wikipedia_editions	bplo1	dplo1	bpla1	dpla1	pantheon_1	level3_all_occ
2234503	Q859009										Male	Leadership	Zhuge_Xu	Eastern Asia					35740010	Politics	0.66666669	0.33333334	Nobility	politician	Missing	Missing	79805	2	5243	7	1	22.337137	525500.0	China	'China'	China		D:_'China'_matchB1_P:_'China'	China	Missing	enwiki|frwiki|jawiki|zhwiki|viwiki|kowiki|thwiki	Asia	grA	118.4670028686520		35.54930114746090		0	D:_politician_P:_royaume_French
973757	Q2848999	1985.0					1985.0	1985.0			Male	Sports/Games	AndrÃ©s_CapellÃ¡n	Southern Europe	1985.0	2062.0117	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	4018041	Sports/Games	1.0		Missing	athletic	5.Contemporary period 1901-2020AD	Missing	274	3	1599	1	1	14.391674	2215711.0	Spain	'Spain'	Spain		D:_'Spain'_matchB1_P:_'Spain'	Spain	Missing	frwiki	Europe	grB					0	D:_athletic_P:_athlÃ¨te_French
1949005	Q6520764	1904.0	1979.0				1904.0	1904.0	1979.0	1979.0	Male	Discovery/Science	Leland_John_Haworth	Northern America	1904.0	1979.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	22058970	Academia	1.0		Missing	physicist	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	1941	3	4740	5	6	19.774691	508731.0	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	enwiki|fawiki|arwiki|euwiki|dewiki	America	grA	-83.6933364868164	-73.06220245361330	43.01889038085940	40.94609832763670	0	D:_physicist_scientist_P:_physicist_science_English_physiker_German
254027	Q15632759	1952.0					1952.0	1952.0			Male	Culture	Reinhard_Matz	Western Europe	1952.0	2032.8406	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	8068432	Culture-core	0.85714287		Missing	photographer	5.Contemporary period 1901-2020AD	Missing	2386	3	2377	1	15	19.018799	863726.5	Germany	'Germany'	Germany		D:_'Germany'_matchB1_P:_'Germany'	Germany	Missing	dewiki	Europe	grB	8.80888843536377		53.07694625854490		0	D:_photographer_writer_P:_fotograf_autor_publizist_German
436267	Q1690231	1945.0					1945.0	1945.0			Male	Leadership	Joachim_Kiefaber	Western Europe	1945.0	2020.2365	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	3846525	Politics	1.0		Missing	politician	5.Contemporary period 1901-2020AD	Missing	1464	3	1276	1	0	15.137073	2500392.5	Germany	'Germany'	Germany		D:_'Germany'_matchB1_P:_'Germany'	Germany	Missing	dewiki	Europe	grB	6.889722347259520		49.98694610595700		0	D:_politician_P:_politiker_German
2145168	Q7614103	1955.0					1955.0	1955.0			Male	Sports/Games	Steve_Taylor_(footballer)	Western Europe	1955.0	2029.9473	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	22212845	Sports/Games	1.0		Missing	football	5.Contemporary period 1901-2020AD	Missing	9614	3	4717	2	1	19.422291	772758.0	United_Kingdom_of_Great_Britain_and_Northern_Ireland	'United_Kingdom'	United_Kingdom		D:_'United_Kingdom'_matchB1_P:_'England'	United_Kingdom	Missing	enwiki|arwiki	Europe	grA	-2.121000051498410		53.56600189208980		0	D:_football_football_P:_football_forward_game_English
1876118	Q6199535	1899.0	1971.0				1899.0	1899.0	1971.0	1971.0	Male	Sports/Games	Jimmy_Armstrong_(footballer,_born_1899)	Western Europe	1899.0	1971.0	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	27603781	Sports/Games	1.0		Missing	football	4.Mid Modern Period 1751-1900AD	5.Contemporary period 1901-2020AD	1545	3	1587	1	0	15.408743	2339000.0	United_Kingdom_of_Great_Britain_and_Northern_Ireland,United_Kingdom_of_Great_Britain_and_Northern_Ireland	'United_Kingdom'_'United_Kingdom_of_Great_Britain_and_Ireland'	United_Kingdom		D:_'United_Kingdom'_'United_Kingdom_of_Great_Britain_and_Ireland'_matchB1_P:_'England'	United_Kingdom	Missing	enwiki	Europe	grA	-1.569900035858150		54.85940170288090		0	D:_football_P:_football_athletic_football_English
1260453	Q3763555	1957.0					1957.0	1957.0			Male	Leadership	Gianni_Mancuso	Southern Europe	1957.0	2032.4637	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	1245262	Politics	1.0		Missing	politician	5.Contemporary period 1901-2020AD	Missing	2671	3	1591	1	1	16.650745	1696897.5	Italy	'Italy'	Italy		D:_'Italy'_matchB1_P:_'Italy'	Italy	Missing	itwiki	Europe	grB	9.666666984558110		45.83333206176760		0	D:_politician_P:_politico_Italian
1685553	Q5542514	1932.0	2003.0				1932.0	1932.0	2003.0	2003.0	Male	Leadership	George_Miscevich	Northern America	1932.0	2003.0	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	25502370	Politics	1.0		Missing	politician	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	792	3	1293	1	1	15.231387	2156154.5	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	enwiki	America	grA		-79.82777404785160		40.28055572509770	0	D:_politician_P:_representative_English
343756	Q16194819	1962.0					1962.0	1962.0			Male	Sports/Games	Wallace_Spearmon_Sr.	Northern America	1962.0	2040.2825	5.Contemporary period 1901-2020AD	5.Contemporary period 1901-2020AD	35898722	Sports/Games	1.0		Missing	athletic	5.Contemporary period 1901-2020AD	Missing	4080	3	3290	2	1	18.205538	930367.0	US	'US'	US		D:_'US'_matchB1_P:_'US'	US	Missing	jawiki|enwiki	America	grA					0	D:_athletic_P:_sprint_English
